|Query ID|Prediction
757|5603|5
758|10271|3
759|4938|13
760|544|2
761|4596|12
762|993|9
763|6327|13
764|4879|12
765|10319|13
766|2046|6
767|11027|14
768|6474|15
769|11645|19
770|134|4
771|1866|18
772|5394|3
773|3543|0
774|2931|11
775|9452|2
776|3658|5
777|7013|6
778|7589|9
779|2044|9
780|2634|4
781|4277|7
782|2013|16
783|2101|2
784|6378|6
785|1498|9
786|6722|1
787|5904|14
788|9968|0
789|4208|5
790|4002|0
791|9102|12
792|8687|11
793|7081|19
794|5406|15
795|11562|1
796|1726|4
797|7763|15
798|6565|10
799|8759|17
800|2818|10
801|12905|11
802|8517|13
803|1719|3
804|4977|1
805|8869|12
806|416|9
807|4593|19
808|4305|9
809|3297|10
810|5378|7
811|8296|11
812|7306|18
813|571|6
814|8458|12
815|6833|12
816|7171|8
817|600|3
818|8103|9
819|7101|17
820|1437|3
821|10692|2
822|10792|6
823|3900|13
824|5231|17
825|6225|10
826|1079|12
827|8968|18
828|6796|11
829|799|13
830|7608|8
831|7731|1
832|11150|8
833|2920|7
834|2640|13
835|2766|17
836|3426|16
837|5793|1
838|3749|17
839|1007|0
840|8627|0
841|3312|13
842|10464|10
843|1092|3
844|8130|19
845|3939|12
846|5450|14
847|1952|0
848|1791|15
849|2354|10
850|10765|16
851|834|11
852|8764|17
853|8567|13
854|10188|12
855|48|18
856|535|14
857|11416|7
858|9573|18
859|11497|13
860|4131|14
861|3989|2
862|9120|3
863|746|14
864|6113|9
865|10510|11
866|5259|1
867|2081|5
868|5380|11
869|9934|4
870|6046|4
871|9554|14
872|6675|4
873|2463|16
874|6815|17
875|10417|4
876|5634|15
877|7826|1
878|5815|17
879|4219|9
880|9977|16
881|11309|7
882|5044|15
883|1377|8
884|1292|16
885|3783|0
886|6696|19
887|9477|14
888|558|10
889|8667|5
890|9814|13
891|4655|17
892|4045|10
893|8908|1
894|1852|18
895|3616|17
896|879|10
897|5861|17
898|10350|12
899|4942|14
900|2985|5
901|6950|12
902|7075|3
903|8488|3
904|4001|5
905|5763|6
906|8109|2
907|6510|13
908|9266|12
909|3110|16
910|3856|16
911|11446|1
912|1751|18
913|7027|4
914|6194|13
915|6032|13
916|5816|4
917|7042|1
918|10579|3
919|4665|2
920|2441|13
921|4832|14
922|11752|11
923|470|4
924|4791|4
925|8562|18
926|6405|4
927|3913|8
928|10240|10
929|3592|17
930|10962|17
931|6324|14
932|3491|0
933|6847|6
934|6526|13
935|9776|17
936|2462|13
937|7346|17
938|11185|10
939|3946|1
940|1290|14
941|8478|10
942|10233|17
943|8227|14
944|9493|3
945|1100|13
946|6532|7
947|4474|12
948|2501|16
949|6248|17
950|3967|3
951|10106|3
952|1691|11
953|5662|15
954|9080|7
955|5236|7
956|1698|14
957|9410|8
958|1706|14
959|2595|18
960|7015|13
961|3862|12
962|6980|13
963|6600|3
964|8999|16
965|2404|13
966|6519|14
967|21|15
968|6654|14
969|1121|2
970|1309|4
971|1910|15
972|7460|6
973|7486|13
974|7356|1
975|2003|14
976|8490|2
977|6089|15
978|2801|0
979|4731|16
980|3418|14
981|8389|13
982|6853|12
983|3945|0
984|6582|9
985|3763|0
986|3275|19
987|9399|18
988|3815|17
989|809|14
990|1999|6
991|6279|13
992|5844|2
993|3090|10
994|4612|5
995|4268|15
996|1830|7
997|460|15
998|2347|3
999|10845|9
1000|287|13
1001|5842|18
1002|3208|17
1003|11026|16
1004|10462|7
1005|10869|17
1006|9592|12
1007|418|4
1008|3779|14
1009|4895|17
1010|3302|6
1011|4830|16
1012|1202|2
1013|1001|18
1014|4816|14
1015|10549|3
1016|6465|11
1017|9220|9
1018|3741|9
1019|3756|1
1020|5359|15
1021|3897|14
1022|2175|2
1023|9556|6
1024|557|19
1025|1218|1
1026|2372|7
1027|11557|13
1028|7163|7
1029|4189|13
1030|7112|8
1031|8913|3
1032|2983|6
1033|4632|1
1034|3282|16
1035|12158|8
1036|5549|13
1037|7555|17
1038|8557|8
1039|10052|3
1040|3148|7
1041|1138|9
1042|6511|17
1043|8609|0
1044|559|2
1045|3548|15
1046|3116|2
1047|5769|14
1048|1018|14
1049|9160|1
1050|4373|2
1051|11190|16
1052|5706|13
1053|10520|16
1054|10382|14
1055|5135|8
1056|4765|1
1057|1998|17
1058|4704|10
1059|3635|8
1060|3861|6
1061|913|7
1062|4027|16
1063|5227|6
1064|5797|16
1065|9016|9
1066|9198|18
1067|4554|6
1068|4640|7
1069|5009|3
1070|4649|12
1071|8387|9
1072|3078|14
1073|11728|13
1074|6502|16
1075|3494|14
1076|8291|11
1077|11521|19
1078|1453|6
1079|7406|17
1080|8504|16
1081|3980|15
1082|5525|2
1083|4212|12
1084|7596|17
1085|1610|12
1086|11456|13
1087|2717|7
1088|3495|12
1089|904|18
1090|10479|10
1091|648|9
1092|5619|19
1093|2971|15
1094|7646|12
1095|501|7
1096|7257|7
1097|6491|12
1098|824|10
1099|8873|12
1100|5539|7
1101|5814|0
1102|5855|4
1103|8419|10
1104|4165|2
1105|8468|5
1106|7440|7
1107|3407|18
1108|866|0
1109|3190|14
1110|11550|13
1111|6883|6
1112|11198|9
1113|9447|4
1114|8021|19
1115|4620|2
1116|4175|1
1117|3561|15
1118|3058|3
1119|9928|10
1120|8018|1
1121|1935|14
1122|9945|13
1123|7055|13
1124|8138|14
1125|2710|13
1126|3696|13
1127|6757|1
1128|3908|1
1129|9472|7
1130|5782|2
1131|11793|19
1132|425|13
1133|1110|19
1134|2853|1
1135|498|13
1136|12034|0
1137|11496|4
1138|68|9
1139|2068|3
1140|3925|10
1141|9803|13
1142|2067|4
1143|7625|15
1144|661|3
1145|6635|9
1146|3172|7
1147|3612|17
1148|1164|16
1149|4166|2
1150|7543|12
1151|3152|17
1152|917|16
1153|2728|15
1154|7457|14
1155|10403|4
1156|1872|12
1157|8569|16
1158|6308|4
1159|7070|1
1160|5646|15
1161|2348|3
1162|4600|17
1163|2289|13
1164|4783|13
1165|8046|15
1166|1041|17
1167|8264|12
1168|4752|17
1169|719|16
1170|4066|17
1171|11810|19
1172|2711|14
1173|10303|17
1174|7442|18
1175|5974|17
1176|5356|9
1177|4989|11
1178|5022|6
1179|6423|18
1180|8998|16
1181|7612|11
1182|11719|11
1183|1739|7
1184|177|9
1185|4766|9
1186|8444|10
1187|3011|1
1188|29|17
1189|7295|15
1190|3809|17
1191|10535|3
1192|1589|17
1193|3501|5
1194|10455|17
1195|6033|13
1196|1587|19
1197|1016|16
1198|5265|11
1199|1315|19
1200|4382|17
1201|3604|12
1202|529|12
1203|7824|12
1204|9019|18
1205|3786|8
1206|7756|10
1207|10426|4
1208|6254|4
1209|1428|17
1210|7536|15
1211|556|19
1212|1025|6
1213|11205|17
1214|2205|14
1215|5988|9
1216|6321|14
1217|9400|16
1218|10109|5
1219|11488|10
1220|3338|19
1221|5948|11
1222|9811|0
1223|7914|17
1224|10053|12
1225|9038|13
1226|10079|9
1227|8186|19
1228|10170|16
1229|4112|16
1230|1089|9
1231|8189|3
1232|308|12
1233|5678|14
1234|41|17
1235|5012|9
1236|8407|1
1237|9532|18
1238|10840|17
1239|6676|12
1240|4818|3
1241|82|4
1242|7663|18
1243|394|1
1244|4617|18
1245|7066|2
1246|9696|12
1247|3636|10
1248|2737|15
1249|5839|7
1250|7616|11
1251|9032|2
1252|7611|3
1253|3492|3
1254|290|0
1255|9067|0
1256|269|7
1257|10742|2
1258|907|7
1259|8352|14
1260|5984|19
1261|3687|2
1262|1178|6
1263|7750|3
1264|6836|6
1265|136|5
1266|5860|14
1267|851|6
1268|929|7
1269|7388|2
1270|8339|13
1271|2720|4
1272|12006|0
1273|3642|7
1274|6348|13
1275|5777|1
1276|10729|0
1277|499|8
1278|11595|13
1279|3516|17
1280|331|4
1281|8824|9
1282|7753|6
1283|5781|6
1284|2894|15
1285|3935|9
1286|9449|14
1287|2243|0
1288|2304|12
1289|12043|19
1290|8778|14
1291|6256|11
1292|6206|14
1293|5494|15
1294|7062|15
1295|791|4
1296|8441|19
1297|6933|16
1298|4051|15
1299|9328|2
1300|2653|0
1301|7172|6
1302|1977|8
1303|3087|18
1304|5292|2
1305|8622|19
1306|277|14
1307|8469|3
1308|1934|11
1309|4280|10
1310|3386|19
1311|8262|17
1312|10406|10
1313|5663|11
1314|6499|9
1315|4842|9
1316|5112|2
1317|4151|13
1318|1658|9
1319|1670|15
1320|4492|6
1321|9225|4
1322|10846|15
1323|3454|8
1324|2234|7
1325|7594|7
1326|10154|8
1327|10724|17
1328|11093|0
1329|5476|4
1330|8096|7
1331|5011|12
1332|2286|5
1333|1402|9
1334|2517|18
1335|6547|7
1336|1344|8
1337|785|0
1338|8482|15
1339|10235|9
1340|1597|5
1341|125|15
1342|2860|13
1343|380|15
1344|6872|6
1345|6645|9
1346|640|0
1347|9893|7
1348|9725|17
1349|7164|9
1350|5689|11
1351|7774|9
1352|7584|14
1353|3385|4
1354|7588|6
1355|10516|0
1356|5640|14
1357|11509|13
1358|2307|3
1359|4232|7
1360|9738|14
1361|318|2
1362|4043|7
1363|830|2
1364|1227|10
1365|8655|13
1366|5867|3
1367|3002|18
1368|11125|2
1369|10182|3
1370|2114|15
1371|3888|18
1372|1058|17
1373|8223|5
1374|8314|1
1375|8704|10
1376|808|0
1377|5442|0
1378|3355|13
1379|9063|14
1380|10302|0
1381|9504|8
1382|8668|17
1383|10530|2
1384|1514|13
1385|22|13
1386|7777|17
1387|4488|17
1388|3177|13
1389|10504|18
1390|11713|19
1391|10708|1
1392|6445|10
1393|5914|4
1394|1245|3
1395|6261|13
1396|6370|10
1397|1064|13
1398|10753|7
1399|387|0
1400|443|10
1401|1580|6
1402|10800|9
1403|2643|3
1404|5077|14
1405|994|9
1406|6852|14
1407|5434|7
1408|6373|8
1409|6936|17
1410|7149|9
1411|5853|1
1412|2575|0
1413|5934|9
1414|5910|9
1415|1725|5
1416|4244|4
1417|7676|9
1418|5868|15
1419|2695|3
1420|4418|9
1421|6855|8
1422|10767|3
1423|8640|3
1424|9326|14
1425|10721|12
1426|9271|1
1427|2909|10
1428|7127|19
1429|1195|0
1430|7944|10
1431|3047|7
1432|1320|8
1433|11822|0
1434|9427|16
1435|3634|17
1436|9498|18
1437|8977|9
1438|10563|13
1439|6453|17
1440|5478|6
1441|9310|13
1442|7511|14
1443|1201|15
1444|5755|4
1445|8300|11
1446|10828|19
1447|6871|6
1448|4792|17
1449|6844|13
1450|10694|9
1451|5584|17
1452|1902|13
1453|6218|16
1454|9531|0
1455|9161|2
1456|6814|8
1457|10557|16
1458|2880|12
1459|8224|3
1460|5836|4
1461|4102|10
1462|3362|9
1463|4867|6
1464|8289|17
1465|2084|14
1466|7989|13
1467|5424|3
1468|664|14
1469|7020|17
1470|3032|17
1471|1961|3
1472|4100|13
1473|10507|6
1474|8753|10
1475|9471|3
1476|4381|4
1477|1808|9
1478|10904|18
1479|3976|4
1480|5425|13
1481|6765|3
1482|7666|12
1483|9484|19
1484|5612|17
1485|7882|14
1486|2541|18
1487|3168|15
1488|10363|13
1489|6761|13
1490|7244|5
1491|8930|17
1492|12729|11
1493|5561|14
1494|8872|1
1495|1196|13
1496|7272|10
1497|5582|6
1498|9044|5
1499|10738|0
1500|3057|17
1501|667|2
1502|3512|0
1503|8546|15
1504|1962|6
1505|11211|2
1506|4988|12
1507|1989|6
1508|11966|0
1509|10297|17
1510|4519|16
1511|5258|3
1512|4276|1
1513|2610|2
1514|1323|5
1515|4829|15
1516|10698|17
1517|3377|3
1518|10506|0
1519|2524|17
1520|1661|16
1521|11326|3
1522|2810|14
1523|9594|5
1524|2734|12
1525|7318|10
1526|2697|14
1527|9491|11
1528|4408|10
1529|4555|9
1530|3623|10
1531|3993|18
1532|10491|14
1533|4945|10
1534|837|13
1535|10309|13
1536|2756|1
1537|7674|16
1538|4573|9
1539|948|13
1540|1012|12
1541|2335|16
1542|4900|7
1543|11449|8
1544|1043|4
1545|6544|10
1546|11061|7
1547|2357|13
1548|666|19
1549|9923|4
1550|5198|9
1551|8366|2
1552|6989|5
1553|404|17
1554|6729|14
1555|3138|14
1556|5697|2
1557|8747|7
1558|2739|14
1559|7339|8
1560|5078|16
1561|7323|16
1562|8744|9
1563|9243|12
1564|288|8
1565|5250|3
1566|3669|17
1567|4569|5
1568|4203|1
1569|9430|16
1570|3896|12
1571|11300|13
1572|6287|16
1573|8087|19
1574|6114|14
1575|8996|18
1576|4969|9
1577|5411|12
1578|10010|16
1579|10213|13
1580|2467|16
1581|1319|16
1582|1647|3
1583|8007|2
1584|684|14
1585|8783|0
1586|1222|4
1587|6307|12
1588|6093|9
1589|3949|14
1590|4090|19
1591|11510|19
1592|8331|13
1593|7167|6
1594|1793|15
1595|10668|8
1596|6108|4
1597|7871|14
1598|1265|0
1599|5495|3
1600|3937|13
1601|4725|0
1602|5510|10
1603|3643|18
1604|8994|3
1605|2603|14
1606|10307|0
1607|8202|19
1608|3936|0
1609|9998|16
1610|1857|7
1611|5563|10
1612|6805|5
1613|8023|3
1614|6928|18
1615|4901|13
1616|4127|16
1617|4180|15
1618|4712|9
1619|9645|7
1620|2602|12
1621|7827|3
1622|1246|3
1623|7313|12
1624|1677|3
1625|3373|4
1626|4315|12
1627|1131|2
1628|3517|4
1629|9792|11
1630|10097|6
1631|8603|11
1632|1955|15
1633|1351|0
1634|10203|8
1635|7099|14
1636|549|9
1637|8833|2
1638|2488|7
1639|1804|6
1640|6561|8
1641|10445|3
1642|1401|16
1643|915|19
1644|6467|17
1645|7610|9
1646|3269|1
1647|8119|5
1648|3838|14
1649|7822|0
1650|7085|13
1651|7599|8
1652|5111|19
1653|5787|16
1654|10488|19
1655|9608|3
1656|8056|7
1657|2290|9
1658|1993|16
1659|445|7
1660|2466|15
1661|8325|0
1662|3921|2
1663|10022|13
1664|6300|7
1665|8624|14
1666|2554|8
1667|6961|13
1668|8960|3
1669|6596|9
1670|5101|13
1671|4526|2
1672|1119|16
1673|7724|19
1674|10002|9
1675|4565|10
1676|1659|14
1677|3113|7
1678|12157|1
1679|10390|13
1680|767|19
1681|6659|8
1682|6021|2
1683|4354|3
1684|5420|9
1685|2010|12
1686|2511|9
1687|10143|7
1688|5949|4
1689|9652|16
1690|574|12
1691|5652|14
1692|7378|4
1693|2107|2
1694|7294|8
1695|2421|12
1696|925|17
1697|8649|9
1698|1464|16
1699|3175|7
1700|1969|13
1701|9209|8
1702|2047|9
1703|11457|17
1704|8494|13
1705|9121|8
1706|3211|0
1707|3537|4
1708|8860|14
1709|6004|8
1710|9766|17
1711|9613|14
1712|9936|15
1713|3104|19
1714|7006|2
1715|9606|19
1716|9006|16
1717|3476|16
1718|10252|6
1719|6559|14
1720|5347|0
1721|11314|18
1722|5922|15
1723|1971|5
1724|10547|18
1725|2778|16
1726|11675|0
1727|4645|14
1728|8681|11
1729|1495|8
1730|10283|3
1731|4744|3
1732|8027|16
1733|2427|11
1734|9218|13
1735|7762|10
1736|6339|0
1737|4431|2
1738|8079|0
1739|8047|9
1740|8596|8
1741|8769|9
1742|4702|2
1743|3183|0
1744|10861|3
1745|6386|15
1746|5579|10
1747|10971|12
1748|11735|19
1749|10070|16
1750|6588|18
1751|5002|1
1752|6851|8
1753|9943|10
1754|1413|3
1755|5799|18
1756|12096|11
1757|2331|17
1758|2581|1
1759|2419|11
1760|1929|10
1761|9896|11
1762|985|17
1763|8137|17
1764|7508|18
1765|9078|6
1766|5456|14
1767|5568|17
1768|4631|14
1769|1059|18
1770|10395|10
1771|4504|12
1772|6906|13
1773|9313|4
1774|382|17
1775|3156|10
1776|1737|4
1777|2712|3
1778|8578|0
1779|9306|6
1780|3392|9
1781|6204|4
1782|857|18
1783|3289|10
1784|4860|6
1785|10146|7
1786|1859|14
1787|9637|5
1788|9819|13
1789|1901|4
1790|3145|18
1791|5141|13
1792|8100|14
1793|6247|3
1794|1954|5
1795|2623|5
1796|6677|12
1797|6462|0
1798|967|17
1799|9989|11
1800|10230|10
1801|8561|4
1802|1130|4
1803|7331|10
1804|10028|11
1805|1976|7
1806|5547|14
1807|10336|17
1808|6878|14
1809|419|13
1810|6090|15
1811|12044|18
1812|9684|15
1813|6056|18
1814|1623|6
1815|7550|16
1816|8066|9
1817|6832|17
1818|3382|2
1819|4395|1
1820|1575|14
1821|1215|14
1822|9012|7
1823|7083|16
1824|3184|3
1825|8935|1
1826|9703|7
1827|9352|16
1828|12486|11
1829|4496|13
1830|5047|1
1831|6456|5
1832|7337|4
1833|10987|19
1834|4050|13
1835|2656|14
1836|4944|0
1837|4030|7
1838|3994|3
1839|12237|6
1840|523|18
1841|6026|17
1842|6707|12
1843|6938|1
1844|3224|14
1845|9329|1
1846|2028|11
1847|8696|16
1848|7771|12
1849|4716|14
1850|3523|4
1851|2929|1
1852|9295|12
1853|7624|14
1854|67|11
1855|7920|13
1856|2749|17
1857|9176|13
1858|264|7
1859|12661|8
1860|607|17
1861|2981|10
1862|11132|12
1863|2076|4
1864|1703|8
1865|9077|4
1866|360|7
1867|7103|16
1868|11232|14
1869|5454|2
1870|3438|12
1871|5024|10
1872|9515|9
1873|9073|7
1874|9010|2
1875|10590|17
1876|11384|10
1877|7782|4
1878|720|0
1879|4611|1
1880|7396|16
1881|4578|6
1882|6968|17
1883|5224|4
1884|11829|8
1885|8341|0
1886|9658|14
1887|1166|4
1888|2049|9
1889|1571|16
